Month,Day,Hour,GHI
12,6,6,0
12,6,7,0
12,6,8,56
12,6,9,223
12,6,10,48
12,6,11,63
12,6,12,169
12,6,13,156
12,6,14,141
12,6,15,237
12,6,16,170
12,6,17,54
12,6,18,0
12,6,19,0
12,6,20,0
12,6,21,0
12,6,22,0
12,6,23,0
12,7,0,0
12,7,1,0
12,7,2,0
12,7,3,0
12,7,4,0
12,7,5,0
12,7,6,0
12,7,7,0
12,7,8,55
12,7,9,136
12,7,10,155
12,7,11,270
12,7,12,380
12,7,13,369
12,7,14,396
12,7,15,366
12,7,16,208
12,7,17,65
12,7,18,0
12,7,19,0
12,7,20,0
12,7,21,0
12,7,22,0
12,7,23,0
12,8,0,0
12,8,1,0
12,8,2,0
12,8,3,0
12,8,4,0
12,8,5,0
12,8,6,0
12,8,7,0
12,8,8,18
12,8,9,116
12,8,10,258
12,8,11,317
12,8,12,138
12,8,13,173
12,8,14,103
12,8,15,359
12,8,16,204
12,8,17,64
12,8,18,0
12,8,19,0
12,8,20,0
12,8,21,0
12,8,22,0
12,8,23,0
12,9,0,0
12,9,1,0
12,9,2,0
12,9,3,0
12,9,4,0
12,9,5,0
12,9,6,0
12,9,7,0
12,9,8,11
12,9,9,49
12,9,10,14
12,9,11,129
12,9,12,265
12,9,13,242
12,9,14,283
12,9,15,246
12,9,16,141
12,9,17,65
12,9,18,0
12,9,19,0
12,9,20,0
12,9,21,0
12,9,22,0
12,9,23,0
12,10,0,0
12,10,1,0
12,10,2,0
12,10,3,0
12,10,4,0
12,10,5,0
12,10,6,0
12,10,7,0
12,10,8,5
12,10,9,56
12,10,10,116
12,10,11,242
12,10,12,225
12,10,13,274
12,10,14,102
12,10,15,65
12,10,16,74
12,10,17,23
12,10,18,0
12,10,19,0
12,10,20,0
12,10,21,0
12,10,22,0
12,10,23,0
12,11,0,0
12,11,1,0
12,11,2,0
12,11,3,0
12,11,4,0
12,11,5,0
12,11,6,0
12,11,7,0
12,11,8,20
12,11,9,177
12,11,10,323
12,11,11,376
12,11,12,416
12,11,13,438
12,11,14,348
12,11,15,242
12,11,16,92
12,11,17,29
12,11,18,0
12,11,19,0
12,11,20,0
12,11,21,0
12,11,22,0
12,11,23,0
12,12,0,0
12,12,1,0
12,12,2,0
12,12,3,0
12,12,4,0
12,12,5,0
12,12,6,0
12,12,7,0
12,12,8,22
12,12,9,12
12,12,10,172
12,12,11,186
12,12,12,236
12,12,13,94
12,12,14,194
12,12,15,180
12,12,16,9
12,12,17,64
12,12,18,0
12,12,19,0
12,12,20,0
12,12,21,0
12,12,22,0
12,12,23,0
12,13,0,0
12,13,1,0
12,13,2,0
12,13,3,0
12,13,4,0
12,13,5,0
12,13,6,0
12,13,7,0
12,13,8,46
12,13,9,217
12,13,10,218
12,13,11,288
12,13,12,564
12,13,13,564
